driver_id,constructor_id,season,round,quali_pos,finish_order,event_name,avg_grid_pos,avg_finish_pos,points_to_date,points_prev_year,avg_finish_same_track,qualifying_score
norris,mclaren,2025,1,1.0,1.0,Australian Grand Prix,1.0,1.0,0,338,4.666666666666667,1.0
piastri,mclaren,2025,1,2.0,9.0,Australian Grand Prix,2.0,9.0,0,265,6.0,2.0
max_verstappen,red_bull,2025,1,3.0,2.0,Australian Grand Prix,3.0,2.0,0,396,10.285714285714286,3.0
russell,mercedes,2025,1,4.0,3.0,Australian Grand Prix,4.0,3.0,0,224,12.666666666666666,4.0
tsunoda,rb,2025,1,5.0,12.0,Australian Grand Prix,5.0,12.0,0,29,10.666666666666666,5.0
albon,williams,2025,1,6.0,5.0,Australian Grand Prix,6.0,5.0,0,12,13.333333333333334,6.0
leclerc,ferrari,2025,1,7.0,8.0,Australian Grand Prix,7.0,8.0,0,324,9.0,7.0
hamilton,ferrari,2025,1,8.0,10.0,Australian Grand Prix,8.0,10.0,0,205,6.0,8.0
gasly,alpine,2025,1,9.0,11.0,Australian Grand Prix,9.0,11.0,0,40,13.25,9.0
sainz,williams,2025,1,10.0,18.0,Australian Grand Prix,10.0,18.0,0,261,9.857142857142858,10.0
hadjar,rb,2025,1,11.0,20.0,Australian Grand Prix,11.0,20.0,0,0,20.0,11.0
alonso,aston_martin,2025,1,12.0,17.0,Australian Grand Prix,12.0,17.0,0,69,6.526315789473684,12.0
stroll,aston_martin,2025,1,13.0,6.0,Australian Grand Prix,13.0,6.0,0,24,10.4,13.0
doohan,alpine,2025,1,14.0,19.0,Australian Grand Prix,14.0,19.0,0,0,19.0,14.0
bortoleto,sauber,2025,1,15.0,16.0,Australian Grand Prix,15.0,16.0,0,0,16.0,15.0
antonelli,mercedes,2025,1,16.0,4.0,Australian Grand Prix,16.0,4.0,0,0,4.0,16.0
hulkenberg,sauber,2025,1,17.0,7.0,Australian Grand Prix,17.0,7.0,0,36,12.0,17.0
lawson,red_bull,2025,1,18.0,15.0,Australian Grand Prix,18.0,15.0,0,4,15.0,18.0
ocon,haas,2025,1,19.0,13.0,Australian Grand Prix,19.0,13.0,0,23,11.8,19.0
bearman,haas,2025,1,20.0,14.0,Australian Grand Prix,20.0,14.0,0,7,14.0,20.0
piastri,mclaren,2025,2,1.0,1.0,Chinese Grand Prix,2.0,9.0,2,265,8.0,1.5
russell,mercedes,2025,2,2.0,3.0,Chinese Grand Prix,4.0,3.0,15,224,11.0,3.0
norris,mclaren,2025,2,3.0,2.0,Chinese Grand Prix,1.0,1.0,25,338,10.0,2.0
max_verstappen,red_bull,2025,2,4.0,4.0,Chinese Grand Prix,3.0,2.0,18,396,6.333333333333333,3.5
hamilton,ferrari,2025,2,5.0,19.0,Chinese Grand Prix,8.0,10.0,1,205,4.214285714285714,6.5
leclerc,ferrari,2025,2,6.0,18.0,Chinese Grand Prix,7.0,8.0,4,324,9.333333333333334,6.5
hadjar,rb,2025,2,7.0,11.0,Chinese Grand Prix,11.0,20.0,0,0,20.0,9.0
antonelli,mercedes,2025,2,8.0,6.0,Chinese Grand Prix,16.0,4.0,12,0,4.0,12.0
tsunoda,rb,2025,2,9.0,16.0,Chinese Grand Prix,5.0,12.0,0,29,19.0,7.0
albon,williams,2025,2,10.0,7.0,Chinese Grand Prix,6.0,5.0,10,12,11.0,8.0
ocon,haas,2025,2,11.0,5.0,Chinese Grand Prix,19.0,13.0,0,23,10.666666666666666,15.0
hulkenberg,sauber,2025,2,12.0,15.0,Chinese Grand Prix,17.0,7.0,6,36,12.9,14.5
alonso,aston_martin,2025,2,13.0,17.0,Chinese Grand Prix,12.0,17.0,0,69,6.25,12.5
stroll,aston_martin,2025,2,14.0,9.0,Chinese Grand Prix,13.0,6.0,8,24,15.25,13.5
sainz,williams,2025,2,15.0,10.0,Chinese Grand Prix,10.0,18.0,0,261,9.5,12.5
gasly,alpine,2025,2,16.0,20.0,Chinese Grand Prix,9.0,11.0,0,40,12.333333333333334,12.5
bearman,haas,2025,2,17.0,8.0,Chinese Grand Prix,20.0,14.0,0,7,14.0,18.5
doohan,alpine,2025,2,18.0,13.0,Chinese Grand Prix,14.0,19.0,0,0,19.0,16.0
bortoleto,sauber,2025,2,19.0,14.0,Chinese Grand Prix,15.0,16.0,0,0,16.0,17.0
lawson,red_bull,2025,2,20.0,12.0,Chinese Grand Prix,18.0,15.0,0,4,15.0,19.0
max_verstappen,red_bull,2025,3,1.0,1.0,Japanese Grand Prix,3.5,3.0,30,396,4.625,2.25
norris,mclaren,2025,3,2.0,2.0,Japanese Grand Prix,2.0,1.5,43,338,7.0,2.0
piastri,mclaren,2025,3,3.0,3.0,Japanese Grand Prix,1.5,5.0,27,265,5.5,2.25
leclerc,ferrari,2025,3,4.0,4.0,Japanese Grand Prix,6.5,13.0,4,324,7.0,5.25
russell,mercedes,2025,3,5.0,5.0,Japanese Grand Prix,3.0,3.0,30,224,9.5,4.0
antonelli,mercedes,2025,3,6.0,6.0,Japanese Grand Prix,12.0,5.0,20,0,5.0,9.0
hadjar,rb,2025,3,7.0,8.0,Japanese Grand Prix,9.0,15.5,0,0,15.5,8.0
hamilton,ferrari,2025,3,8.0,7.0,Japanese Grand Prix,6.5,14.5,1,205,4.0,7.25
albon,williams,2025,3,9.0,9.0,Japanese Grand Prix,8.0,6.0,16,12,15.0,8.5
bearman,haas,2025,3,10.0,10.0,Japanese Grand Prix,18.5,11.0,4,7,11.0,14.25
gasly,alpine,2025,3,11.0,13.0,Japanese Grand Prix,12.5,15.5,0,40,12.5,11.75
sainz,williams,2025,3,12.0,14.0,Japanese Grand Prix,12.5,14.0,1,261,11.25,12.25
alonso,aston_martin,2025,3,13.0,11.0,Japanese Grand Prix,12.5,17.0,0,69,10.157894736842104,12.75
lawson,rb,2025,3,14.0,17.0,Japanese Grand Prix,19.0,13.5,0,4,11.0,16.5
tsunoda,red_bull,2025,3,15.0,12.0,Japanese Grand Prix,7.0,14.0,0,29,11.666666666666666,11.0
hulkenberg,sauber,2025,3,16.0,16.0,Japanese Grand Prix,14.5,11.0,6,36,13.0,15.25
