season,round,event_name,event_date,country,location,event_format
2026,1,Australian Grand Prix,2026-03-08,Australia,Melbourne,conventional
2026,2,Chinese Grand Prix,2026-03-15,China,Shanghai,sprint_qualifying
2026,3,Japanese Grand Prix,2026-03-29,Japan,Suzuka,conventional
2026,4,Bahrain Grand Prix,2026-04-12,Bahrain,Sakhir,conventional
2026,5,Saudi Arabian Grand Prix,2026-04-19,Saudi Arabia,Jeddah,conventional
2026,6,Miami Grand Prix,2026-05-03,United States,Miami Gardens,sprint_qualifying
2026,7,Canadian Grand Prix,2026-05-24,Canada,Montréal,sprint_qualifying
2026,8,Monaco Grand Prix,2026-06-07,Monaco,Monte Carlo,conventional
2026,9,Barcelona Grand Prix,2026-06-14,Spain,Barcelona,conventional
2026,10,Austrian Grand Prix,2026-06-28,Austria,Spielberg,conventional
2026,11,British Grand Prix,2026-07-05,United Kingdom,Silverstone,sprint_qualifying
2026,12,Belgian Grand Prix,2026-07-19,Belgium,Spa-Francorchamps,conventional
2026,13,Hungarian Grand Prix,2026-07-26,Hungary,Budapest,conventional
2026,14,Dutch Grand Prix,2026-08-23,Netherlands,Zandvoort,sprint_qualifying
2026,15,Italian Grand Prix,2026-09-06,Italy,Monza,conventional
2026,16,Spanish Grand Prix,2026-09-13,Spain,Madrid,conventional
2026,17,Azerbaijan Grand Prix,2026-09-26,Azerbaijan,Baku,conventional
2026,18,Singapore Grand Prix,2026-10-11,Singapore,Marina Bay,sprint_qualifying
2026,19,United States Grand Prix,2026-10-25,United States,Austin,conventional
2026,20,Mexico City Grand Prix,2026-11-01,Mexico,Mexico City,conventional
2026,21,São Paulo Grand Prix,2026-11-08,Brazil,São Paulo,conventional
2026,22,Las Vegas Grand Prix,2026-11-21,United States,Las Vegas,conventional
2026,23,Qatar Grand Prix,2026-11-29,Qatar,Lusail,conventional
2026,24,Abu Dhabi Grand Prix,2026-12-06,United Arab Emirates,Yas Marina,conventional
